question,option,input_type,input_id,dependence,dependence_value,required
Your Name,,text,name,NA,NA,TRUE
What is your #1 topic of interest?,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Entrepreneurship (Creating a Business Vision, Business Plan & Pitch, Decision-Making, Innovation, Risk-Taking, Legal, Promotion/Marketing, Finances, Venture Capital, Angel Investors, Measuring Success, Exit Strategy)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Interpersonal Relationships (Networking, Conversational Intelligence, Office Politics/Corporate Culture) Active Listening, Cross-Cultural Dynamics)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Leadership: Personal (Planning, Execution, Analysis, Effectiveness & Efficiency, Influence, Adaptability, Unconscious Bias, Milestone Focus, Budget Management)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Leadership: Team (Relationship Building, Inclusion, Communication, Collaboration, Motivation, Managing, Delivery, Performance Metrics, People Development, Diversity, Corporate Alignment)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Leadership: Strategic (Strategic Thinking, Business Knowledge, Big Picture, Vision and Mission, Global Perspective, Financial Acumen, Innovation, Company Priorities, Stakeholder Awareness, Due Diligence)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Personal Growth (Self-Advocacy, Confidence Building, Professional Presence, Personal Vision/Branding, Presentations, Adaptability, Negotiation)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Transition (Resilience, Organizational Change, Personal Change, Networking, LinkedIn & Public Presence, Values Assessment, Alternative Careers, Interviewing, Negotiation, To MBA or Not to MBA, Bridging Work Gaps, Decision-Making, Positive Energy)",mc,topic1,NA,NA,TRUE
What is your #1 topic of interest?,"Work-Life Considerations (Personal and Professional Goals, Time management, Stress Management, Handling Information Overload, Re-visioning, Investing & Wealth Management, Life Coaching)",mc,topic1,NA,NA,TRUE
Rank skills for Topic: Career Progression,Mentors/Coaches/Sponsors,rank_{{6}},skills_car_prg1,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
Rank skills for Topic: Career Progression,Professional Networks,rank_{{6}},skills_car_prg2,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
Rank skills for Topic: Career Progression,Strategies for Advancement,rank_{{6}},skills_car_prg3,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
Rank skills for Topic: Career Progression,Project Management,rank_{{6}},skills_car_prg4,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
Rank skills for Topic: Career Progression,Decision-Making,rank_{{6}},skills_car_prg5,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
Rank skills for Topic: Career Progression,Being Innovative,rank_{{6}},skills_car_prg6,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
Rank skills for Topic: Career Progression,Taking Risks,rank_{{6}},skills_car_prg7,topic1,"Career Progression (Mentors/Coaches/Sponsors, Professional Networks, Strategies for Advancement, Project Management, Decision-Making, Being Innovative, Taking Risks)",TRUE
